name_elections;amco;name_hdng
Wijk 30,32-46;NA;NA
Wijk 47-57,59;NA;NA
Aalsmeer;11264;AALSMEER
Buitenwijken 1-5;NA;NA
Diemen;11039;DIEMEN
Kalslagen;10724;KALSLAGEN
Leimuiden;11351;LEIMUIDEN
Nieuwer-Amstel;10799;NIEUWER-AMSTEL
Ouder-Amstel;10998;OUDER-AMSTEL
Rietwijkeroord;10473;RIETWIJKEROORD
Uithoorn;11206;UITHOORN
Watergraafsmeer;11122;WATERGRAAFSMEER
Wijk 15,58;NA;NA
Aar (Ter);11104;TER AAR
Aarlanderveen;11242;AARLANDERVEEN
Alkemade;10349;ALKEMADE
Alphen;10517;ALPHEN ZH
Benthuizen;10398;BENTHUIZEN
Bodegraven;11091;BODEGRAVEN
Boekhorst;10767;VRIJE EN LAGE BOEKHORST
De Vennep;10541;DE VENNIP
Hazerswoude;11257;HAZERSWOUDE
Hoogmade;10026;HOOGMADE
Katwijk;10707;KATWIJK
Koudekerk;11428;KOUDEKERKE
Leiden;10702;LEIDEN
Leiderdorp;10058;LEIDERDORP
Nieuwveen;10487;NIEUWVEEN
Oegstgeest;10287;OEGSTGEEST
Oudshoorn;11011;OUDSHOORN
Rijnsaterwoude;11129;RIJNSATERWOUDE
Boskoop;10419;BOSKOOP
Rijnsburg;11118;RIJNSBURG
Sassenheim;10612;SASSENHEIM
Valkenburg;10028;VALKENBURG ZH
Voorhout;10017;VOORHOUT
Warmond;10204;WARMOND
Woubrugge;10461;WOUBRUGGE
Zwammerdam;10675;ZWAMMERDAM
Ammerstol;10863;AMMERSTOL
Barwoutswaarder;10447;BARWOUTSWAARDER
Bergambacht;10962;BERGAMBACHT
Bergschenhoek;10445;BERGSCHENHOEK
Berkel;NA;NA
Berkenwoude;10797;BERKENWOUDE
Bleiswijk;10994;BLEISWIJK
Broek;11214;BROEK, THUIL EN 'T WEEGJE
Capelle aan den Yssel;11248;CAPELLE AAN DEN IJSSEL
Gouda;10302;GOUDA
Gouderak;11258;GOUDERAK
Groot-Ammers;11205;GROOT AMMERS
Haastrecht;11049;HAASTRECHT
Hekendorp;10217;HEKENDORP
Hillegersberg;10227;HILLEGERSBERG
Almkerk;10788;ALMKERK
Ameide;11349;AMEIDE
Andel (Op- en Neer-);10871;ANDEL
Arkel;10079;ARKEL
Asperen;11369;ASPEREN
Bleskensgraaf;10451;BLESKENSGRAAF EN HOFWEGEN
Brandwijk;10169;BRANDWIJK
De Werken;10116;DE WERKEN EN SLEEUWIJK
Drongelen;10111;DRONGELEN
Dussen;10261;DUSSEN
Emmikhoven en Waardhuizen;10621;EMMIKHOVEN
Everdingen;10638;EVERDINGEN
Giessen;10193;GIESSEN
Giessen-Nieuwkerk;10255;GIESSEN-NIEUWKERK
Giessendam;10606;GIESSENDAM
Gorinchem;10942;GORINCHEM
Goudriaan;10450;GOUDRIAAN
Hagestein;10297;HAGESTEIN
Hardinxveld;10167;HARDINXVELD
Heesbeen;10307;HEUSDEN
Hei- en Boeicop;11024;HEI EN BOEICOP
's-Gravendeel;10052;'S GRAVENDEEL
Alblas (Oud-);10826;OUD-ALBLAS
Alblasserdam;11327;ALBLASSERDAM
Barendrecht;10943;BARENDRECHT
Beijerland (Nieuw-);10092;NIEUW BEIJERLAND
Beijerland (Oud-);11301;OUD-BEIJERLAND
Beijerland (Zuid-);10917;ZUID-BEIJERLAND
Charlois;10430;CHARLOIS
Dordrecht;11157;DORDRECHT
Dubbeldam;10781;DUBBELDAM
Goidschalksoord;10123;GOIDSCHALXOORD
Goudswaard;10914;GOUDSWAARD
Heer-Oudelands-Ambacht;11207;HEER OUDELANDS AMBACHT
Heerjansdam;10540;HEERJANSDAM
Heinenoord;10821;HEINENOORD
Hendrik-Ido-Ambacht;10416;HENDRIK IDO AMBACHT
Hofwegen;10325;HOFWEGEN
Hoogvliet;10348;HOOGVLIET
Katendrecht;11401;KATENDRECHT
Kijfhoek;10319;KIJFHOEK
Abbenbroek;11026;ABBENBROEK
Abtsregt;10946;ABTSREGT
Ackersdijk;10791;KERKWIJK
Biert;10686;BIERT MET STOMPAARDEN
Brielle;10232;BRIELLE
Delfshaven;10908;DELFSHAVEN
Delft;10928;DELFT
Geervliet;10842;GEERVLIET
Groeneveld;10764;GROENEVELD
Heenvliet;10823;HEENVLIET
