b1_nummer;politician;vote;law;date;house;pdc_naam;category;district;sum_industry;sum_services;sum_agriculture;industry;services;agriculture;total_pers_taxes;vermogen_tax;income_tax;catholics;geref;hervormd;catholic_pct;geref_pct;hervormd_pct
00784;de Lange;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Lange;fiscal;Amsterdam;39841;103090;509;0,277753764640268;0,7186963216633506;0,00354849737938846;915409;146;1325;57938;1917;132003;0,301983758821628478;9,99176474267427e-03;0,68802447643569720
00828;van der Linden;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Linden;fiscal;Almelo;21505;6149;8537;0,594208504876903;0,1699013302529517;0,23588239506899489;89311;3991;5568;46539;3338;53920;0,448365559698257199;3,21589255951521e-02;0,51947551470659070
00931;Moens;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Moens;fiscal;Sneek;22029;12306;15176;0,444931429379330;0,2485485935028382;0,30651345032508842;178607;3230;6181;9509;4162;84167;0,097191275373576733;4,25397084977207e-02;0,86026901612870255
00538;Heemskerk Bzn.;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Heemskerk Bzn.;fiscal;Amsterdam;39841;103090;509;0,277753764640268;0,7186963216633506;0,00354849737938846;915409;146;1325;57938;1917;132003;0,301983758821628478;9,99176474267427e-03;0,68802447643569720
01303;Stieltjes;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Stieltjes;fiscal;Amsterdam;39841;103090;509;0,277753764640268;0,7186963216633506;0,00354849737938846;915409;146;1325;57938;1917;132003;0,301983758821628478;9,99176474267427e-03;0,68802447643569720
00349;Dullert;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Dullert;fiscal;Arnhem;30502;22032;17588;0,434984740880180;0,3141933106686086;0,25081731971662413;273587;2597;6923;23554;1087;86222;0,212460424127075748;9,80489432903674e-03;0,77773468154388747
01036;Plate;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Plate;fiscal;Rotterdam;26344;58158;1517;0,306257919761913;0,6761040344317520;0,01763543723616193;549281;163;827;84963;20249;184686;0,293078945008244274;6,98487054067293e-02;0,63707234958502645
01273;Smit;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Smit;fiscal;Ridderkerk;3345;1208;567;0,653320312500000;0,2359073978330326;0,11072295743712439;54284;3582;4418;611;9031;35684;0,013480121784406301;1,99245466178352e-01;0,78727441203724136
00468;Goekoop;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Goekoop;fiscal;Brielle;0;0;0;NA;NA;NA;60728;4651;8620;2011;6388;35293;0,046026732582623818;1,46205254966584e-01;0,80776801245079188
01120;Roessingh;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Roessingh;fiscal;Emmen;9635;1561;3860;0,639944208289054;0,1036751895365909;0,25636353368115433;27624;2491;2114;6337;7886;41752;0,113211255024564542;1,40884323358642e-01;0,74590442161679316
00404;Ferf;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Ferf;fiscal;Hoorn;3207;4478;1547;0,347378682842288;0,4850337423762391;0,16755421639822060;101901;3306;8711;13461;1330;23509;0,351462140992167105;3,47258485639687e-02;0,61381201044386424
00607;van Houten;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Houten;fiscal;Groningen;14942;17348;6842;0,381835837677604;0,4433157192622656;0,17484043059763046;211782;1779;2873;10422;12367;66716;0,116440422322775267;1,38171051896542e-01;0,74538852578068260
00400;van der Feltz;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Feltz;fiscal;Assen;4437;3831;2328;0,418742921857305;0,3615372413023043;0,21968937153089257;54898;3083;3662;2439;4416;39561;0,052546535677352638;9,51396070320579e-02;0,85231385729058950
00500;van Gijn;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Gijn;fiscal;Dordrecht;5887;8086;796;0,398605186539373;0,5474833617910790;0,05389322311861160;116515;536;2001;5798;5169;39905;0,113972322692247205;1,01607957225979e-01;0,78441972008177385
00071;W.H. de Beaufort;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Beaufort 2;fiscal;Amsterdam;43443;107573;1655;0,284553058537640;0,7046053245370755;0,01084023342541958;1240199;168;1233;122395;23123;214201;0,340251696463072573;6,42807302366570e-02;0,59546757330027045
00849;Lucasse;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Lucasse;fiscal;Middelburg;3592;7107;546;0,319430858159182;0,6319962757569837;0,04855080546432261;110138;4648;6368;6818;8494;35415;0,134405740532655193;1,67445344688233e-01;0,69814891477911167
01067;Pijnacker Hordijk;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Pijnacker Hordijk;fiscal;'s-Gravenhage;16923;36816;2477;0,301035292443432;0,6548990118877976;0,04406143945066406;525337;130;666;63164;7822;111627;0,345889942118031035;4,28337522520302e-02;0,61127630562993873
01148;Rutgers van Rozenburg;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Rutgers van Rozenburg;fiscal;Amsterdam;43443;107573;1655;0,284553058537640;0,7046053245370755;0,01084023342541958;1240199;168;1233;122395;23123;214201;0,340251696463072573;6,42807302366570e-02;0,59546757330027045
00279;Cremer;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Cremer;fiscal;Amsterdam;43443;107573;1655;0,284553058537640;0,7046053245370755;0,01084023342541958;1240199;168;1233;122395;23123;214201;0,340251696463072573;6,42807302366570e-02;0,59546757330027045
00299;van Delden;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Delden;fiscal;Deventer;7121;5003;2984;0,471339687582738;0,3311387292278805;0,19750076184149581;75140;986;2059;10028;1014;33155;0,226893228047152534;2,29427336697061e-02;0,75016403828314138
00293;A. baron van Dedem;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Dedem;fiscal;Zwolle;8532;6208;4588;0,441432119205298;0,3211847174435804;0,23736646214504928;105644;1198;1839;12002;3763;29891;0,262878920623795365;8,24207114070440e-02;0,65470036796916065
